Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-01-19,Deutschland,0,160422145,62592792,60754344,40667342,75,37,15,62,85,78,86,73,30,8,57,83,81,88,49,15,58,50,71
2022-01-19,Schleswig-Holstein,1,6001134,2298132,2254775,1581776,79,46,17,78,90,84,91,78,37,8,70,89,87,92,54,17,64,55,79
2022-01-19,Hamburg,2,3690206,1491488,1453507,852585,81,38,18,62,92,87,91,79,29,5,59,91,91,89,46,12,55,50,67
2022-01-19,Niedersachsen,3,15967413,6162063,5964968,4272348,77,40,16,68,87,78,91,75,33,6,63,85,82,90,53,19,63,56,75
2022-01-19,Bremen,4,1506911,603004,582384,369421,89,39,15,65,101,99,97,86,31,6,60,98,100,96,54,13,64,57,79
2022-01-19,Nordrhein-Westfalen,5,36225000,14192356,13638451,9201102,79,42,20,68,89,82,92,76,34,8,63,87,85,91,51,17,61,53,75
,Hessen,6,11897407,4741354,4512254,2895006,75,37,15,62,85,79,89,72,28,5,56,82,80,86,46,14,54,48,67
2022-01-19,Rheinland-Pfalz,7,7983531,3123833,2963694,2062575,76,39,15,64,86,78,91,72,30,6,58,82,79,88,50,17,59,52,72
2022-01-19,Baden-Württemberg,8,21024563,8086402,7933480,5482632,73,35,13,59,83,76,87,76,28,6,54,82,80,86,49,19,58,53,70
2022-01-19,Bayern,9,24727650,9576207,9458915,6195937,73,38,15,64,82,76,86,72,31,7,59,82,80,86,47,14,56,48,71
2022-01-19,Saarland,10,2097961,800794,779865,566449,81,38,13,67,91,84,92,79,30,4,61,89,88,92,58,21,66,59,78
2022-01-19,Berlin,11,7194844,2798179,2711008,1812958,76,38,20,62,82,80,91,72,31,11,57,85,82,91,50,17,58,51,76
2022-01-19,Brandenburg,12,4379186,1729885,1682655,1079036,68,26,7,49,77,67,82,67,22,3,44,76,71,83,43,9,50,42,63
2022-01-19,Mecklenburg-Vorpommern,13,3015696,1177916,1154225,749242,73,27,6,52,83,75,87,72,22,2,46,82,78,88,47,9,54,44,70
2022-01-19,Sachsen,14,6604360,2606880,2516939,1581702,64,21,5,41,74,65,81,62,17,2,37,71,65,82,39,7,46,36,60
2022-01-19,Sachsen-Anhalt,15,3892155,1540712,1526468,932710,71,24,5,47,80,71,84,70,20,2,41,80,74,87,43,7,50,38,66
2022-01-19,Thüringen,16,3706940,1462691,1428393,909795,69,26,8,47,78,70,84,67,22,5,44,77,71,85,43,10,50,40,65
