A,Anteil ueber 65-Jaehrigen,Code
1001,20,1
1002,19,1
1053,22,1
1056,22,1
1060,22,1
2000,18,1
3101,21,1
3103,22,1
3151,20,1
3157,22,1
3241,21,1
3353,22,1
3355,20,1
3357,21,1
3359,22,1
3401,22,1
3402,22,1
3403,19,1
3404,19,1
3453,17,1
3454,19,1
3456,21,1
3457,22,1
3458,22,1
3459,21,1
3460,16,1
4011,21,1
4012,22,1
5111,19,1
5112,20,1
5113,22,1
5114,22,1
5116,21,1
5119,22,1
5120,22,1
5122,21,1
5124,21,1
5154,21,1
5162,22,1
5166,22,1
5314,18,1
5315,17,1
5316,22,1
5334,20,1
5358,22,1
5362,22,1
5366,22,1
5370,21,1
5374,21,1
5382,22,1
5513,21,1
5515,17,1
5554,19,1
5558,21,1
5566,20,1
5570,21,1
5711,20,1
5754,20,1
5758,22,1
5770,22,1
5774,18,1
5911,22,1
5913,21,1
5914,22,1
5915,21,1
5916,22,1
5958,22,1
5962,22,1
5966,21,1
5970,22,1
5974,22,1
6411,17,1
6412,16,1
6413,16,1
6414,20,1
6431,22,1
6432,21,1
6433,19,1
6435,22,1
6436,21,1
6438,21,1
6440,21,1
6531,20,1
6532,22,1
6533,22,1
6534,20,1
6611,20,1
6631,21,1
7111,22,1
7137,22,1
7138,22,1
7143,21,1
7211,18,1
7232,21,1
7235,21,1
7312,20,1
7313,19,1
7314,19,1
7315,18,1
7319,21,1
7331,20,1
7333,22,1
7334,20,1
7335,22,1
7339,21,1
8111,18,1
8115,20,1
8116,21,1
8117,22,1
8118,20,1
8119,21,1
8121,19,1
8125,19,1
8126,20,1
8127,20,1
8135,22,1
8136,21,1
8212,19,1
8215,21,1
8216,22,1
8221,17,1
8222,18,1
8225,22,1
8226,22,1
8231,20,1
8235,21,1
8236,21,1
8237,21,1
8311,17,1
8315,22,1
8316,21,1
8317,21,1
8325,21,1
8326,22,1
8327,20,1
8335,21,1
8336,21,1
8337,21,1
8415,21,1
8416,18,1
8417,22,1
8421,18,1
8425,19,1
8426,19,1
8436,20,1
8437,21,1
9161,18,1
9162,17,1
9163,20,1
9171,22,1
9173,22,1
9174,19,1
9175,19,1
9176,18,1
9177,17,1
9178,16,1
9179,22,1
9181,20,1
9183,20,1
9184,20,1
9185,19,1
9186,18,1
9187,22,1
9190,22,1
9261,20,1
9262,21,1
9263,22,1
9271,21,1
9272,22,1
9273,19,1
9274,19,1
9275,22,1
9277,22,1
9278,20,1
9279,19,1
9362,17,1
9371,21,1
9372,22,1
9373,19,1
9374,21,1
9375,20,1
9376,21,1
9461,19,1
9462,22,1
9471,19,1
9474,21,1
9561,21,1
9562,18,1
9563,18,1
9564,20,1
9565,22,1
9571,20,1
9572,21,1
9574,22,1
9575,21,1
9576,21,1
9577,22,1
9661,21,1
9663,20,1
9671,22,1
9674,21,1
9675,21,1
9676,22,1
9678,22,1
9679,22,1
9761,19,1
9763,22,1
9764,22,1
9771,20,1
9772,21,1
9773,20,1
9774,20,1
9775,20,1
9777,21,1
9778,21,1
9779,20,1
11000,19,1
12054,20,1
14612,22,1
14713,20,1
16053,21,1
