age_ratio,icu_ratio,facecolor,facecolor_id,admin_unit
88,20,#ace4e4,2,1001
76,19,#e8e8e8,1,1002
91,23,#5698b9,6,1003
84,23,#a5add3,5,1004
97,25,#3b4994,9,1051
72,22,#dfb0d6,4,1053
82,24,#8c62aa,8,1054
85,28,#8c62aa,8,1055
79,22,#dfb0d6,4,1056
50,26,#be64ac,7,1057
50,24,#be64ac,7,1058
100,24,#3b4994,9,1059
69,22,#dfb0d6,4,1060
72,23,#dfb0d6,4,1061
88,23,#a5add3,5,1062
83,18,#ace4e4,2,2000
73,21,#e8e8e8,1,3101
89,23,#a5add3,5,3102
87,22,#a5add3,5,3103
100,20,#5ac8c8,3,3151
100,27,#3b4994,9,3153
88,24,#8c62aa,8,3154
60,26,#be64ac,7,3155
100,22,#5698b9,6,3157
50,24,#be64ac,7,3158
88,23,#a5add3,5,3159
89,21,#ace4e4,2,3241
81,23,#a5add3,5,3251
81,25,#8c62aa,8,3252
78,23,#dfb0d6,4,3254
78,27,#be64ac,7,3255
92,23,#5698b9,6,3256
88,25,#8c62aa,8,3257
82,24,#8c62aa,8,3351
67,26,#be64ac,7,3352
81,22,#a5add3,5,3353
100,28,#3b4994,9,3354
79,20,#e8e8e8,1,3355
91,24,#3b4994,9,3356
82,21,#ace4e4,2,3357
91,23,#5698b9,6,3358
89,22,#a5add3,5,3359
89,26,#8c62aa,8,3360
87,23,#a5add3,5,3361
81,22,#a5add3,5,3401
59,22,#dfb0d6,4,3402
87,19,#ace4e4,2,3403
87,19,#ace4e4,2,3404
68,26,#be64ac,7,3405
84,23,#a5add3,5,3451
78,23,#dfb0d6,4,3452
63,17,#e8e8e8,1,3453
80,19,#e8e8e8,1,3454
87,26,#8c62aa,8,3455
89,21,#ace4e4,2,3456
72,22,#dfb0d6,4,3457
60,22,#dfb0d6,4,3458
78,21,#e8e8e8,1,3459
64,16,#e8e8e8,1,3460
100,24,#3b4994,9,3461
100,25,#3b4994,9,3462
94,21,#5ac8c8,3,4011
96,22,#5698b9,6,4012
95,19,#5ac8c8,3,5111
79,20,#e8e8e8,1,5112
91,22,#5698b9,6,5113
87,22,#a5add3,5,5114
91,21,#5ac8c8,3,5116
100,24,#3b4994,9,5117
82,22,#a5add3,5,5119
75,22,#dfb0d6,4,5120
79,21,#e8e8e8,1,5122
78,21,#e8e8e8,1,5124
70,21,#e8e8e8,1,5154
75,24,#be64ac,7,5158
87,22,#a5add3,5,5162
91,22,#5698b9,6,5166
91,24,#3b4994,9,5170
93,18,#5ac8c8,3,5314
90,17,#5ac8c8,3,5315
83,22,#a5add3,5,5316
97,20,#5ac8c8,3,5334
90,22,#5698b9,6,5358
86,22,#a5add3,5,5362
86,22,#a5add3,5,5366
90,21,#5ac8c8,3,5370
79,21,#e8e8e8,1,5374
97,23,#5698b9,6,5378
93,22,#5698b9,6,5382
74,23,#dfb0d6,4,5512
81,21,#ace4e4,2,5513
94,17,#5ac8c8,3,5515
67,19,#e8e8e8,1,5554
87,21,#ace4e4,2,5558
71,23,#dfb0d6,4,5562
78,20,#e8e8e8,1,5566
90,21,#5ac8c8,3,5570
90,20,#5ac8c8,3,5711
98,20,#5ac8c8,3,5754
79,22,#dfb0d6,4,5758
69,23,#dfb0d6,4,5762
96,23,#5698b9,6,5766
83,22,#a5add3,5,5770
81,18,#ace4e4,2,5774
90,22,#5698b9,6,5911
87,21,#ace4e4,2,5913
90,22,#5698b9,6,5914
71,21,#e8e8e8,1,5915
88,22,#a5add3,5,5916
87,24,#8c62aa,8,5954
72,22,#dfb0d6,4,5958
86,22,#a5add3,5,5962
50,21,#e8e8e8,1,5966
82,22,#a5add3,5,5970
82,22,#a5add3,5,5974
89,23,#a5add3,5,5978
83,17,#ace4e4,2,6411
89,16,#ace4e4,2,6412
85,16,#ace4e4,2,6413
87,20,#ace4e4,2,6414
76,22,#dfb0d6,4,6431
92,21,#5ac8c8,3,6432
76,19,#e8e8e8,1,6433
96,23,#5698b9,6,6434
91,22,#5698b9,6,6435
96,21,#5ac8c8,3,6436
98,24,#3b4994,9,6437
73,21,#e8e8e8,1,6438
79,23,#dfb0d6,4,6439
95,21,#5ac8c8,3,6440
91,20,#5ac8c8,3,6531
98,22,#5698b9,6,6532
76,22,#dfb0d6,4,6533
86,20,#ace4e4,2,6534
88,25,#8c62aa,8,6535
94,20,#5ac8c8,3,6611
84,21,#ace4e4,2,6631
82,24,#8c62aa,8,6632
92,25,#3b4994,9,6633
82,24,#8c62aa,8,6634
88,23,#a5add3,5,6635
62,26,#be64ac,7,6636
81,22,#a5add3,5,7111
60,25,#be64ac,7,7131
76,23,#dfb0d6,4,7132
80,24,#be64ac,7,7133
89,24,#8c62aa,8,7134
50,25,#be64ac,7,7135
40,22,#dfb0d6,4,7137
80,22,#dfb0d6,4,7138
64,23,#dfb0d6,4,7140
83,24,#8c62aa,8,7141
80,21,#e8e8e8,1,7143
83,18,#ace4e4,2,7211
91,23,#5698b9,6,7231
64,21,#e8e8e8,1,7232
81,25,#8c62aa,8,7233
100,21,#5ac8c8,3,7235
91,23,#5698b9,6,7311
97,20,#5ac8c8,3,7312
72,19,#e8e8e8,1,7313
90,19,#5ac8c8,3,7314
