Datum,Bundesland,Bundesland_Id,00-04,0,05-14,15-34,35-59,60-79,80
2022-01-06,Bundesgebiet,0,76,2709,49,459,610,789,722
2022-01-05,Bundesgebiet,0,81,3213,60,500,732,966,871
2022-01-04,Bundesgebiet,0,93,3615,65,516,865,1122,951
2022-01-03,Bundesgebiet,0,88,3773,61,494,922,1211,994
2022-01-02,Bundesgebiet,0,82,3838,61,498,932,1249,1013
2022-01-01,Bundesgebiet,0,83,3903,66,481,938,1280,1049
2021-12-31,Bundesgebiet,0,88,3997,66,462,980,1327,1068
2021-12-30,Bundesgebiet,0,80,4150,70,457,1025,1408,1106
2021-12-29,Bundesgebiet,0,82,4322,78,455,1080,1467,1156
2021-12-28,Bundesgebiet,0,79,4548,87,438,1148,1557,1233
2021-12-27,Bundesgebiet,0,90,4750,99,446,1168,1648,1293
2021-12-26,Bundesgebiet,0,91,4866,103,447,1199,1698,1322
2021-12-25,Bundesgebiet,0,96,5266,110,476,1319,1856,1406
2021-12-24,Bundesgebiet,0,101,5891,128,522,1450,2104,1583
2021-12-23,Bundesgebiet,0,114,6270,134,548,1532,2240,1697
2021-12-22,Bundesgebiet,0,115,6650,136,579,1616,2367,1832
2021-12-21,Bundesgebiet,0,124,7089,151,598,1692,2549,1972
2021-12-20,Bundesgebiet,0,123,7319,143,626,1748,2614,2063
2021-12-19,Bundesgebiet,0,134,7426,140,625,1773,2676,2076
2021-12-18,Bundesgebiet,0,135,7676,157,639,1812,2770,2161
2021-12-17,Bundesgebiet,0,145,7920,159,644,1890,2820,2258
2021-12-16,Bundesgebiet,0,143,8237,172,669,1971,2905,2375
2021-12-15,Bundesgebiet,0,146,8566,169,697,2045,3066,2441
2021-12-14,Bundesgebiet,0,140,8798,156,731,2145,3135,2489
2021-12-13,Bundesgebiet,0,138,9184,164,745,2244,3279,2612
2021-12-12,Bundesgebiet,0,132,9419,176,755,2296,3349,2709
2021-12-11,Bundesgebiet,0,136,9540,161,765,2355,3396,2725
2021-12-10,Bundesgebiet,0,131,9811,169,794,2437,3481,2798
2021-12-09,Bundesgebiet,0,128,10003,176,796,2524,3554,2822
2021-12-08,Bundesgebiet,0,141,10201,189,776,2606,3634,2852
2021-12-07,Bundesgebiet,0,143,10151,195,769,2540,3600,2901
2021-12-06,Bundesgebiet,0,150,10085,197,758,2555,3557,2864
2021-12-05,Bundesgebiet,0,158,10040,189,768,2544,3537,2840
2021-12-04,Bundesgebiet,0,144,10014,192,756,2526,3522,2870
2021-12-03,Bundesgebiet,0,149,10063,185,750,2518,3583,2874
2021-12-02,Bundesgebiet,0,151,10110,178,747,2532,3615,2884
2021-12-01,Bundesgebiet,0,140,10121,177,750,2525,3601,2924
2021-11-30,Bundesgebiet,0,151,10370,180,749,2571,3698,3017
2021-11-29,Bundesgebiet,0,145,10489,177,747,2557,3728,3132
2021-11-28,Bundesgebiet,0,138,10589,188,743,2592,3738,3186
2021-11-27,Bundesgebiet,0,147,10520,189,740,2565,3715,3160
2021-11-26,Bundesgebiet,0,140,10527,194,743,2588,3684,3175
2021-11-25,Bundesgebiet,0,143,10481,199,735,2528,3624,3250
2021-11-24,Bundesgebiet,0,144,10338,204,742,2489,3542,3216
2021-11-23,Bundesgebiet,0,126,10250,213,772,2468,3506,3164
2021-11-22,Bundesgebiet,0,138,10032,212,758,2433,3429,3058
2021-11-21,Bundesgebiet,0,133,9916,203,759,2380,3424,3014
2021-11-20,Bundesgebiet,0,130,9881,196,776,2387,3375,3014
2021-11-19,Bundesgebiet,0,136,9628,182,759,2323,3284,2941
2021-11-18,Bundesgebiet,0,131,9424,169,742,2282,3232,2864
2021-11-17,Bundesgebiet,0,122,9171,165,728,2198,3173,2780
2021-11-16,Bundesgebiet,0,123,8810,149,688,2138,3038,2669
2021-11-15,Bundesgebiet,0,106,8569,148,694,2051,2952,2616
2021-11-14,Bundesgebiet,0,113,8364,146,684,2015,2831,2573
2021-11-13,Bundesgebiet,0,113,8186,148,665,1947,2795,2515
2021-11-12,Bundesgebiet,0,104,7999,149,677,1902,2690,2474
2021-11-11,Bundesgebiet,0,110,7771,145,665,1863,2597,2389
2021-11-10,Bundesgebiet,0,108,7664,123,649,1849,2513,2420
2021-11-09,Bundesgebiet,0,101,7335,115,608,1739,2398,2372
2021-11-08,Bundesgebiet,0,95,6887,105,570,1659,2216,2240
2021-11-07,Bundesgebiet,0,88,6806,97,557,1650,2202,2210
2021-11-06,Bundesgebiet,0,87,6696,95,552,1641,2158,2162
2021-11-05,Bundesgebiet,0,88,6462,85,518,1581,2119,2070
2021-11-04,Bundesgebiet,0,71,6201,74,514,1514,2033,1994
2021-11-03,Bundesgebiet,0,75,5963,77,512,1462,1939,1898
2021-11-02,Bundesgebiet,0,80,5758,72,523,1481,1827,1775
2021-11-01,Bundesgebiet,0,87,5841,69,540,1524,1852,1769
2021-10-31,Bundesgebiet,0,83,5724,67,548,1505,1806,1715
2021-10-30,Bundesgebiet,0,87,5641,64,544,1487,1765,1694
2021-10-29,Bundesgebiet,0,86,5468,64,534,1434,1700,1650
2021-10-28,Bundesgebiet,0,90,5254,60,530,1370,1642,1561
2021-10-27,Bundesgebiet,0,91,4928,54,512,1295,1532,1443
2021-10-26,Bundesgebiet,0,91,4825,56,512,1237,1511,1417
2021-10-25,Bundesgebiet,0,83,4697,59,502,1193,1497,1362
2021-10-24,Bundesgebiet,0,86,4636,60,480,1185,1474,1350
2021-10-23,Bundesgebiet,0,76,4429,62,467,1141,1401,1281
2021-10-22,Bundesgebiet,0,67,4148,62,460,1070,1303,1185
2021-10-21,Bundesgebiet,0,65,3908,65,441,1036,1210,1091
2021-10-20,Bundesgebiet,0,55,3613,60,424,968,1121,985
2021-10-19,Bundesgebiet,0,48,3260,57,384,898,1023,850
2021-10-18,Bundesgebiet,0,47,3036,54,381,851,931,771
2021-10-17,Bundesgebiet,0,45,2971,57,377,824,918,749
2021-10-16,Bundesgebiet,0,51,2921,51,372,818,901,727
2021-10-15,Bundesgebiet,0,52,2872,51,373,831,873,691
2021-10-14,Bundesgebiet,0,50,2768,50,347,801,840,679
2021-10-13,Bundesgebiet,0,50,2750,52,337,794,834,681
2021-10-12,Bundesgebiet,0,43,2679,51,329,783,782,689
2021-10-11,Bundesgebiet,0,47,2586,47,300,774,770,647
2021-10-10,Bundesgebiet,0,47,2563,48,307,782,754,624
2021-10-09,Bundesgebiet,0,42,2513,48,314,747,748,613
2021-10-08,Bundesgebiet,0,47,2438,44,302,744,702,598
2021-10-07,Bundesgebiet,0,53,2383,42,312,733,666,576
2021-10-06,Bundesgebiet,0,60,2391,44,320,756,643,568
2021-10-05,Bundesgebiet,0,70,2475,47,364,785,649,560
2021-10-04,Bundesgebiet,0,66,2525,54,381,792,649,583
2021-10-03,Bundesgebiet,0,66,2530,56,382,790,649,587
2021-10-02,Bundesgebiet,0,66,2534,57,371,812,638,590
2021-10-01,Bundesgebiet,0,68,2544,52,385,817,644,578
2021-09-30,Bundesgebiet,0,72,2609,56,405,862,641,573
2021-09-29,Bundesgebiet,0,72,2573,57,402,841,661,540
2021-09-28,Bundesgebiet,0,67,2484,58,387,821,656,495
2021-09-27,Bundesgebiet,0,71,2461,57,388,816,661,468
2021-09-26,Bundesgebiet,0,72,2458,54,390,818,658,466
2021-09-25,Bundesgebiet,0,74,2488,56,401,849,655,453
2021-09-24,Bundesgebiet,0,73,2522,62,412,839,671,465
2021-09-23,Bundesgebiet,0,72,2527,59,411,835,698,452
2021-09-22,Bundesgebiet,0,70,2598,58,427,878,695,470
2021-09-21,Bundesgebiet,0,74,2677,52,449,911,673,518
2021-09-20,Bundesgebiet,0,78,2756,54,465,979,654,526
2021-09-19,Bundesgebiet,0,79,2818,53,480,1007,671,528
2021-09-18,Bundesgebiet,0,84,2889,51,499,1012,688,555
2021-09-17,Bundesgebiet,0,80,2990,56,500,1091,699,564
2021-09-16,Bundesgebiet,0,80,3095,60,525,1126,709,595
2021-09-15,Bundesgebiet,0,88,3144,61,539,1154,720,582
2021-09-14,Bundesgebiet,0,91,3249,72,563,1176,786,561
2021-09-13,Bundesgebiet,0,97,3269,83,576,1175,787,551
2021-09-12,Bundesgebiet,0,99,3285,84,568,1196,786,552
2021-09-11,Bundesgebiet,0,98,3306,86,568,1233,788,533
2021-09-10,Bundesgebiet,0,98,3304,82,580,1231,794,519
2021-09-09,Bundesgebiet,0,95,3279,89,603,1219,784,489
2021-09-08,Bundesgebiet,0,90,3281,90,626,1224,762,489
2021-09-07,Bundesgebiet,0,89,3273,80,621,1279,719,485
2021-09-06,Bundesgebiet,0,77,3249,72,621,1284,720,475
2021-09-05,Bundesgebiet,0,74,3252,71,620,1296,719,472
2021-09-04,Bundesgebiet,0,70,3259,71,634,1307,717,460
2021-09-03,Bundesgebiet,0,74,3221,76,644,1304,686,437
2021-09-02,Bundesgebiet,0,76,3192,71,622,1316,666,441
2021-09-01,Bundesgebiet,0,82,3188,76,620,1325,661,424
2021-08-31,Bundesgebiet,0,87,3161,80,636,1306,660,392
2021-08-30,Bundesgebiet,0,86,3187,76,654,1346,650,375
2021-08-29,Bundesgebiet,0,86,3163,76,673,1322,639,367
2021-08-28,Bundesgebiet,0,87,3057,72,655,1280,609,354
2021-08-27,Bundesgebiet,0,86,2944,70,633,1223,593,339
2021-08-26,Bundesgebiet,0,90,2840,68,617,1190,577,298
2021-08-25,Bundesgebiet,0,82,2680,64,601,1114,553,266
2021-08-24,Bundesgebiet,0,73,2497,59,570,1050,488,257
2021-08-23,Bundesgebiet,0,75,2355,61,534,987,454,244
2021-08-22,Bundesgebiet,0,75,2291,62,514,959,441,240
2021-08-21,Bundesgebiet,0,78,2217,62,506,910,430,231
2021-08-20,Bundesgebiet,0,72,2136,57,497,876,405,229
2021-08-19,Bundesgebiet,0,66,2035,52,483,818,389,226
2021-08-18,Bundesgebiet,0,65,1925,44,446,788,360,221
2021-08-17,Bundesgebiet,0,62,1787,43,403,741,349,188
2021-08-16,Bundesgebiet,0,57,1662,39,377,673,341,174
2021-08-15,Bundesgebiet,0,53,1589,37,367,640,330,161
2021-08-14,Bundesgebiet,0,45,1514,40,347,601,318,162
2021-08-13,Bundesgebiet,0,46,1407,36,319,560,298,147
2021-08-12,Bundesgebiet,0,36,1290,33,302,514,263,142
2021-08-11,Bundesgebiet,0,28,1161,30,278,460,235,130
2021-08-10,Bundesgebiet,0,25,1061,25,259,411,210,131
2021-08-09,Bundesgebiet,0,22,1012,22,259,386,195,128
2021-08-08,Bundesgebiet,0,21,1001,23,250,378,203,126
2021-08-07,Bundesgebiet,0,24,960,19,236,374,189,118
2021-08-06,Bundesgebiet,0,22,930,18,228,358,193,111
2021-08-05,Bundesgebiet,0,23,889,16,197,356,192,105
2021-08-04,Bundesgebiet,0,24,884,18,195,350,194,103
2021-08-03,Bundesgebiet,0,25,861,20,195,320,196,105
2021-08-02,Bundesgebiet,0,20,785,21,173,297,176,98
2021-08-01,Bundesgebiet,0,20,755,18,169,291,161,96
2021-07-31,Bundesgebiet,0,20,748,20,172,279,163,94
2021-07-30,Bundesgebiet,0,20,711,18,168,259,150,96
2021-07-29,Bundesgebiet,0,17,681,17,170,248,145,84
2021-07-28,Bundesgebiet,0,16,635,14,165,228,133,79
2021-07-27,Bundesgebiet,0,14,572,9,154,213,122,60
2021-07-26,Bundesgebiet,0,16,586,7,164,209,125,65
2021-07-25,Bundesgebiet,0,18,593,7,167,211,124,66
2021-07-24,Bundesgebiet,0,14,569,4,159,206,117,69
2021-07-23,Bundesgebiet,0,12,539,4,151,197,111,64
2021-07-22,Bundesgebiet,0,13,500,3,143,180,99,62
2021-07-21,Bundesgebiet,0,11,469,4,128,174,97,55
2021-07-20,Bundesgebiet,0,11,447,4,118,161,95,58
2021-07-19,Bundesgebiet,0,11,413,3,101,159,91,48
2021-07-18,Bundesgebiet,0,9,394,3,96,149,89,48
2021-07-17,Bundesgebiet,0,8,394,4,94,152,91,45
2021-07-16,Bundesgebiet,0,9,391,6,86,152,91,47
2021-07-15,Bundesgebiet,0,8,389,7,81,144,98,51
2021-07-14,Bundesgebiet,0,8,373,6,80,131,92,56
2021-07-13,Bundesgebiet,0,8,366,6,78,128,92,54
2021-07-12,Bundesgebiet,0,6,362,6,76,129,91,54
2021-07-11,Bundesgebiet,0,5,362,6,76,130,94,51
2021-07-10,Bundesgebiet,0,5,337,4,72,120,89,47
2021-07-09,Bundesgebiet,0,2,315,2,75,113,83,40
2021-07-08,Bundesgebiet,0,4,329,2,80,121,80,42
