A,BundeslandId,Altersgruppe,AnzFallM,AnzFallW,AnzTodesfallM,AnzTodesfallW,AnzFall100kM,AnzFall100kW,AnzTodesfall100kM,AnzTodesfall100kW,ObjectId,AnzTodesfall100k
16,16,A60-A79,16997,18192,976,500,6426.8,6168.8,369,169,1,538
3351,3,A00-A04,174,140,0,0,3977.1,3378.4,0,0,2,0
16,16,A80+,5942,11375,1471,1745,8913.5,10110.5,2207,1551,3,3757.6
1001,1,A00-A04,78,65,0,0,3394.3,3101.1,0,0,4,0
3351,3,A05-A14,444,450,0,0,5143.1,5400.9,0,0,5,0
3101,3,A15-A34,1616,1547,0,0,4479.3,4872.7,0,0,6,0
3351,3,A15-A34,1135,1137,0,1,5724.8,6219.9,0,5.5,7,5.5
1001,1,A05-A14,211,216,0,0,5406.1,5817.4,0,0,8,0
3101,3,A35-A59,1633,1632,6,2,3911.9,4044.7,14,5,9,19.4
3351,3,A35-A59,1133,1198,5,0,3769.1,3967.9,17,0,10,16.6
1001,1,A15-A34,690,643,0,0,4920.1,5045.9,0,0,11,0
3101,3,A60-A79,518,556,41,38,2258.2,2073.2,178.7,141.7,12,320.4
3351,3,A60-A79,415,449,20,6,2062.9,2052.9,99.4,27.4,13,126.8
1001,1,A35-A59,508,566,1,1,3629.1,4200.1,7.1,7.4,14,14.5
3101,3,A80+,179,366,48,65,2632,3210.2,705.8,570.1,15,1275.9
3351,3,A80+,124,218,27,29,2380.5,2612,518.3,347.5,16,865.8
1001,1,A60-A79,134,101,10,2,1613.7,1060,120.4,21,17,141.4
3102,3,A00-A04,248,241,0,0,8403.9,8537,0,0,18,0
3352,3,A00-A04,91,78,0,0,2007.1,1808.5,0,0,19,0
1001,1,A80+,39,61,15,13,1718.1,1703.4,660.8,363,20,1023.8
3102,3,A05-A14,617,563,0,0,11483.3,11431.5,0,0,21,0
3352,3,A05-A14,308,326,0,0,3353.3,3806.6,0,0,22,0
1002,1,A00-A04,129,146,0,0,2273.1,2662.8,0,0,23,0
